"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","NC_0011749.1","NC_007941.1","NC_013175.1","NC_013655.1","NC_017630.1","NZ_CP007150.1","NZ_CP010882.1","NZ_CP012634.1","NZ_CP014493.1","NZ_CP014496.1","NZ_CP014498.1","NZ_CP014523.1","NZ_CP014668.1","NZ_CP015131.1","NZ_CP015160.1","NZ_CP018952.1"
"xerC_1","","Tyrosine recombinase XerC","16","16","1","1","505","","","","641","740","733","PPNGLMBF_00002","AFBCLFAJ_00051","LBLEHJFL_00051","EBLMJKPD_00113","CIDCPHMN_00089","CFLCBKEF_00055","EMANLNOE_00096","BOFEBHGI_00126","DHNEMLFG_00106","EFDDGJBK_00128","LBMCKPDB_00095","IHJENLPO_00095","CFKICFFG_00037","IFAGOEOF_00074","LJFFEAFL_00002","MOLELEAL_00041"
"group_121","","hypothetical protein","16","16","1","1","495","","","","125","251","208","PPNGLMBF_00049","AFBCLFAJ_00005","LBLEHJFL_00005","EBLMJKPD_00066","CIDCPHMN_00137","CFLCBKEF_00005","EMANLNOE_00144","BOFEBHGI_00032","DHNEMLFG_00154","EFDDGJBK_00032","LBMCKPDB_00138","IHJENLPO_00140","CFKICFFG_00006","IFAGOEOF_00119","LJFFEAFL_00047","MOLELEAL_00143"
"group_129","","hypothetical protein","16","16","1","1","295","","","","305","386","380","PPNGLMBF_00094","AFBCLFAJ_00113","LBLEHJFL_00114","EBLMJKPD_00026","CIDCPHMN_00026","CFLCBKEF_00119","EMANLNOE_00056","BOFEBHGI_00061","DHNEMLFG_00042","EFDDGJBK_00064","LBMCKPDB_00030","IHJENLPO_00031","CFKICFFG_00100","IFAGOEOF_00016","LJFFEAFL_00202","MOLELEAL_00106"
"group_131","","hypothetical protein","16","16","1","1","287","","","","671","830","730","PPNGLMBF_00104","AFBCLFAJ_00103","LBLEHJFL_00103","EBLMJKPD_00016","CIDCPHMN_00035","CFLCBKEF_00109","EMANLNOE_00048","BOFEBHGI_00071","DHNEMLFG_00054","EFDDGJBK_00074","LBMCKPDB_00038","IHJENLPO_00041","CFKICFFG_00090","IFAGOEOF_00026","LJFFEAFL_00212","MOLELEAL_00098"
"yfjQ","","CP4-57 prophage; predicted protein","16","16","1","1","276","","","","821","821","821","PPNGLMBF_00113","AFBCLFAJ_00095","LBLEHJFL_00095","EBLMJKPD_00008","CIDCPHMN_00043","CFLCBKEF_00101","EMANLNOE_00040","BOFEBHGI_00079","DHNEMLFG_00063","EFDDGJBK_00082","LBMCKPDB_00047","IHJENLPO_00049","CFKICFFG_00082","IFAGOEOF_00034","LJFFEAFL_00220","MOLELEAL_00090"
"psiB","","Protein PsiB","16","16","1","1","268","","","","410","434","432","PPNGLMBF_00119","AFBCLFAJ_00090","LBLEHJFL_00089","EBLMJKPD_00002","CIDCPHMN_00049","CFLCBKEF_00095","EMANLNOE_00035","BOFEBHGI_00085","DHNEMLFG_00068","EFDDGJBK_00088","LBMCKPDB_00054","IHJENLPO_00055","CFKICFFG_00076","IFAGOEOF_00038","LJFFEAFL_00226","MOLELEAL_00085"
"noc","","Nucleoid occlusion protein","16","16","1","1","267","","","","1943","2048","1985","PPNGLMBF_00120","AFBCLFAJ_00089","LBLEHJFL_00088","EBLMJKPD_00001","CIDCPHMN_00050","CFLCBKEF_00094","EMANLNOE_00034","BOFEBHGI_00086","DHNEMLFG_00069","EFDDGJBK_00089","LBMCKPDB_00055","IHJENLPO_00056","CFKICFFG_00075","IFAGOEOF_00039","LJFFEAFL_00227","MOLELEAL_00084"
"yfjX","","CP4-57 prophage; predicted antirestriction protein","16","16","1","1","514","","","","425","425","425","PPNGLMBF_00132","AFBCLFAJ_00078","LBLEHJFL_00078","EBLMJKPD_00141","CIDCPHMN_00061","CFLCBKEF_00082","EMANLNOE_00024","BOFEBHGI_00099","DHNEMLFG_00080","EFDDGJBK_00101","LBMCKPDB_00064","IHJENLPO_00068","CFKICFFG_00064","IFAGOEOF_00048","LJFFEAFL_00238","MOLELEAL_00074"
"repB","","RepFIB replication protein A","16","16","1","1","503","","","","242","977","931","PPNGLMBF_00001","AFBCLFAJ_00052","LBLEHJFL_00052","EBLMJKPD_00114","CIDCPHMN_00088","CFLCBKEF_00056","EMANLNOE_00095","BOFEBHGI_00125","DHNEMLFG_00105","EFDDGJBK_00127","LBMCKPDB_00094","IHJENLPO_00094","CFKICFFG_00038","IFAGOEOF_00073","LJFFEAFL_00001","MOLELEAL_00042"
"group_163","","IS66 family transposase ISEc22","16","16","1","1","462","","","","431","518","512","PPNGLMBF_00008","AFBCLFAJ_00046","LBLEHJFL_00045","EBLMJKPD_00107","CIDCPHMN_00095","CFLCBKEF_00048","EMANLNOE_00102","BOFEBHGI_00132","DHNEMLFG_00112","EFDDGJBK_00134","LBMCKPDB_00101","IHJENLPO_00101","CFKICFFG_00032","IFAGOEOF_00080","LJFFEAFL_00008","MOLELEAL_00033"
"group_164","","hypothetical protein","16","16","1","1","468","","","","293","347","343","PPNGLMBF_00013","AFBCLFAJ_00041","LBLEHJFL_00040","EBLMJKPD_00103","CIDCPHMN_00100","CFLCBKEF_00043","EMANLNOE_00107","BOFEBHGI_00137","DHNEMLFG_00117","EFDDGJBK_00139","LBMCKPDB_00106","IHJENLPO_00106","CFKICFFG_00027","IFAGOEOF_00085","LJFFEAFL_00013","MOLELEAL_00028"
"group_165","","hypothetical protein","16","16","1","1","469","","","","278","404","396","PPNGLMBF_00014","AFBCLFAJ_00040","LBLEHJFL_00039","EBLMJKPD_00102","CIDCPHMN_00101","CFLCBKEF_00042","EMANLNOE_00108","BOFEBHGI_00138","DHNEMLFG_00118","EFDDGJBK_00140","LBMCKPDB_00107","IHJENLPO_00107","CFKICFFG_00026","IFAGOEOF_00086","LJFFEAFL_00014","MOLELEAL_00027"
"agp","","3-phytase / glucose-1-phosphatase","16","16","1","1","484","","","","341","449","442","PPNGLMBF_00038","AFBCLFAJ_00016","LBLEHJFL_00016","EBLMJKPD_00077","CIDCPHMN_00127","CFLCBKEF_00017","EMANLNOE_00133","BOFEBHGI_00021","DHNEMLFG_00141","EFDDGJBK_00021","LBMCKPDB_00127","IHJENLPO_00129","CFKICFFG_00017","IFAGOEOF_00108","LJFFEAFL_00036","MOLELEAL_00004"
"finO","","Fertility inhibition protein","16","16","1","1","345","","","","560","560","560","PPNGLMBF_00071","AFBCLFAJ_00137","LBLEHJFL_00137","EBLMJKPD_00053","CIDCPHMN_00003","CFLCBKEF_00142","EMANLNOE_00076","BOFEBHGI_00038","DHNEMLFG_00007","EFDDGJBK_00039","LBMCKPDB_00006","IHJENLPO_00005","CFKICFFG_00125","IFAGOEOF_00171","LJFFEAFL_00089","MOLELEAL_00129"
"ylpA","","Lipoprotein YlpA","16","16","1","1","337","","","","731","776","739","PPNGLMBF_00077","AFBCLFAJ_00131","LBLEHJFL_00131","EBLMJKPD_00043","CIDCPHMN_00009","CFLCBKEF_00136","EMANLNOE_00071","BOFEBHGI_00044","DHNEMLFG_00021","EFDDGJBK_00045","LBMCKPDB_00012","IHJENLPO_00012","CFKICFFG_00119","IFAGOEOF_00177","LJFFEAFL_00095","MOLELEAL_00124"
"traQ","","Protein TraQ","16","16","1","1","326","","","","284","284","284","PPNGLMBF_00084","AFBCLFAJ_00123","LBLEHJFL_00124","EBLMJKPD_00036","CIDCPHMN_00015","CFLCBKEF_00129","EMANLNOE_00064","BOFEBHGI_00051","DHNEMLFG_00032","EFDDGJBK_00053","LBMCKPDB_00019","IHJENLPO_00020","CFKICFFG_00111","IFAGOEOF_00006","LJFFEAFL_00102","MOLELEAL_00117"
