Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Revised Source Niche	Revised_Collection_Year	Classification	Source Niche	Source Type	Source Details	Collection Year	Collection Month	Collection Day	Collection Time	Continent	Country	Region	District	City	Post Code	Latitude	Longitude	Lab Contact	Species	Serological Group	Serotype	EcoR Cluster	Path/Nonpath	Simple Patho	Simple Disease	Comment	Bio Project ID	Project ID	Disease	Sample ID	Secondary Sample ID	Date Entered	Release Date	Barcode	Status	Coverage	N50	Length	Species_1	Contig Number(>=200 bp)	Low Quality Bases	Version	Assembly barcode	HC0 (indistinguishable)	HC2	HC5	HC10	HC20	HC50	HC100	HC200	HC400	HC1100 (cgST Cplx)	HC1500	HC2000	HC2350 (subsp.)			Uberstrain	Name	Data Source(Accession No.;Sequencing Platform;Sequencing Library;Insert Size;Experiment;Status)	Revised Source Niche	Revised_Collection_Year	Classification
ESC_BA7670AA	eo1679	ERR435341;ILLUMINA;Paired;227;ERX401616	Human	2007	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	THE SANGER CENTER	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJEB4681	ERP003992	NA	SAMEA2205187	ERS357698	27/8/15	14/5/14	ESC_BA7670AA	Assembled	0	222284	5504113	Escherichia coli / Shigella;98.51%	163	2431	2.2	ESC_BA8511AA_AS	9838	9838	9838	9838	9838	1106	1104	1104	44	44	44	1	1			ESC_BA7670AA	eo1679	ERR435341;ILLUMINA;Paired;227;ERX401616	Human	2007	SEPEC
ESC_CA9632AA	BS14	traces-0FKfrhe;ILLUMINA;Paired;;NA	Human	2015	SEPEC	Human	Human	Blood	2015	NA	NA	NA	Oceania	Australia	Australian Capital Territory	NA	Canberra	NA	NA	NA	David Gordon	Escherichia coli	NA	NA	NA	Pathogen	ExPEC	Septicemia	NA	NA	NA	Septicemia	NA	NA	5/4/16	4/10/16	ESC_CA9632AA	Assembled	42	56198	5226493	Escherichia coli / Shigella;97.68%	269	16297	3.41	ESC_GA5350AA_AS	1106	1106	1106	1106	1106	1106	1104	1104	44	44	44	1	1			ESC_CA9632AA	BS14	traces-0FKfrhe;ILLUMINA;Paired;;NA	Human	2015	SEPEC
ESC_DA4337AA	PA70B	ERR445635;ILLUMINA;Paired;367;ERX412399	Human	 ---- 	UPEC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AIDRC	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJEB5742	ERP005166	NA	SAMEA2392734	ERS416954	1/7/16	11/3/16	ESC_DA4337AA	Assembled	248	187195	5433061	Escherichia coli / Shigella;98.95%	148	1096	3.41	ESC_HA6420AA_AS	26478	26478	26478	26478	22010	1106	1104	1104	44	44	44	1	1			ESC_DA4337AA	PA70B	ERR445635;ILLUMINA;Paired;367;ERX412399	Human	----	UPEC
ESC_DA4339AA	PA47B	ERR445633;ILLUMINA;Paired;374;ERX412397	Human	 ---- 	UPEC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AIDRC	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJEB5742	ERP005166	NA	SAMEA2392732	ERS416952	1/7/16	11/3/16	ESC_DA4339AA	Assembled	296	323075	5392049	Escherichia coli / Shigella;97.88%	143	2485	3.41	ESC_HA6418AA_AS	26476	26476	26476	26476	26404	1106	1104	1104	44	44	44	1	1			ESC_DA4339AA	PA47B	ERR445633;ILLUMINA;Paired;374;ERX412397	Human	----	UPEC
ESC_DA4344AA	PA11B	ERR445628;ILLUMINA;Paired;393;ERX412392	Human	 ---- 	UPEC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AIDRC	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJEB5742	ERP005166	NA	SAMEA2392727	ERS416947	1/7/16	11/3/16	ESC_DA4344AA	Assembled	177	203930	5311823	Escherichia coli / Shigella;98.98%	160	1374	3.41	ESC_HA6413AA_AS	26471	26471	26471	26404	26404	1106	1104	1104	44	44	44	1	1			ESC_DA4344AA	PA11B	ERR445628;ILLUMINA;Paired;393;ERX412392	Human	----	UPEC
ESC_DA4346AA	PA63B	ERR445626;ILLUMINA;Paired;374;ERX412390	Human	 ---- 	UPEC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AIDRC	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJEB5742	ERP005166	NA	SAMEA2392725	ERS416945	1/7/16	11/3/16	ESC_DA4346AA	Assembled	253	259101	5210025	Escherichia coli / Shigella;100.0%	117	1411	3.41	ESC_HA6411AA_AS	26469	26469	26469	26469	26469	1106	1104	1104	44	44	44	1	1			ESC_DA4346AA	PA63B	ERR445626;ILLUMINA;Paired;374;ERX412390	Human	----	UPEC
ESC_DA4364AA	PA28B	ERR445608;ILLUMINA;Paired;392;ERX412372	Human	 ---- 	UPEC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AIDRC	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJEB5742	ERP005166	NA	SAMEA2392707	ERS416927	1/7/16	11/3/16	ESC_DA4364AA	Assembled	118	323079	5405498	Escherichia coli / Shigella;99.1%	178	1347	3.41	ESC_HA6342AA_AS	26404	26404	26404	26404	26404	1106	1104	1104	44	44	44	1	1			ESC_DA4364AA	PA28B	ERR445608;ILLUMINA;Paired;392;ERX412372	Human	----	UPEC
ESC_DA4374AA	PA8B	ERR445598;ILLUMINA;Paired;388;ERX412362	Human	 ---- 	UPEC	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	AIDRC	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJEB5742	ERP005166	NA	SAMEA2392697	ERS416917	1/7/16	11/3/16	ESC_DA4374AA	Assembled	169	210720	5470707	Escherichia coli / Shigella;98.92%	145	1542	3.41	ESC_HA6332AA_AS	26393	26393	26393	26393	9838	1106	1104	1104	44	44	44	1	1			ESC_DA4374AA	PA8B	ERR445598;ILLUMINA;Paired;388;ERX412362	Human	----	UPEC
ESC_EA4696AA	1.10-R8	SRR4067502;ILLUMINA;Paired;;SRX2054706	Human	2012	Faecal	Human	Human	Homo sapiens; human faeces	2012	NA	NA	NA	Oceania	Australia	New South Wales	NA	Sydney	NA	NA	NA	University of Melbourne	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJNA335932	SRP082992	NA	SAMN05567340	SRS1646779	2/9/16	1/9/16	ESC_EA4696AA	Assembled	120	203926	5323253	Escherichia coli / Shigella;98.1%	169	1719	3.51	ESC_IA0811AA_AS	29942	29942	29942	29942	26404	1106	1104	1104	44	44	44	1	1			ESC_EA4696AA	1.10-R8	SRR4067502;ILLUMINA;Paired;;SRX2054706	Human	2012	Faecal
ESC_EA8089AA	231b2b60-fa7c-11e5-a546-3c4a9275d6c8	ERR1622055;ILLUMINA;Paired;457;ERX1692420	NA	 ---- 	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	SC	Escherichia coli	NA	NA	NA	NA	NA	NA	NA	PRJEB12887	ERP014412	NA	SAMEA3981009	ERS1152119	2/10/16	30/9/16	ESC_EA8089AA	Assembled	61	268708	5216881	Escherichia coli / Shigella;98.18%	85	1815	3.51	ESC_IA3651AA_AS	32149	32149	32149	32149	32149	1106	1104	1104	44	44	44	1	1			ESC_EA8089AA	231b2b60-fa7c-11e5-a546-3c4a9275d6c8	ERR1622055;ILLUMINA;Paired;457;ERX1692420	Poultry_or_human	----	NA
