"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","ESC_NA4003AA_AS","ESC_NA4004AA_AS","ESC_NA4005AA_AS","ESC_NA4045AA_AS"
"insA","","transposase","4","4","1","6","47","","","","224","275","249","LOCUS_34240","f76cef297a7dedb9150c88bc61db4d5a_3993","d0dc75faf82af35216c4087e568ab6aa_2765","e27c64c29733013eb4c363b5c7ab13b8_4527"
"group_10","","hypothetical protein","4","4","1","40","7","","","","236","389","278","LOCUS_46590","f76cef297a7dedb9150c88bc61db4d5a_4851","d0dc75faf82af35216c4087e568ab6aa_4796","e27c64c29733013eb4c363b5c7ab13b8_4929"
"araC","","DNA-binding transcriptional regulator AraC","4","4","1","4","195","","","","845","896","857","LOCUS_26160","f76cef297a7dedb9150c88bc61db4d5a_1252","d0dc75faf82af35216c4087e568ab6aa_3368","e27c64c29733013eb4c363b5c7ab13b8_940"
"group_1000","","hypothetical protein","4","4","1","18","23","","","","371","371","371","LOCUS_22070","f76cef297a7dedb9150c88bc61db4d5a_4596","d0dc75faf82af35216c4087e568ab6aa_4103","e27c64c29733013eb4c363b5c7ab13b8_3633"
"yddB","","hypothetical protein","4","4","1","2","463","","","","2372","2372","2372","LOCUS_45800","f76cef297a7dedb9150c88bc61db4d5a_473","d0dc75faf82af35216c4087e568ab6aa_4443","e27c64c29733013eb4c363b5c7ab13b8_4751"
"yihD","","protein YihD","4","4","1","13","4","","","","269","269","269","LOCUS_48130","f76cef297a7dedb9150c88bc61db4d5a_3432","d0dc75faf82af35216c4087e568ab6aa_4861","e27c64c29733013eb4c363b5c7ab13b8_3148"
"ilvC","","ketol-acid reductoisomerase (NADP(+))","4","4","1","22","10","","","","1475","1475","1475","LOCUS_24820","f76cef297a7dedb9150c88bc61db4d5a_3944","d0dc75faf82af35216c4087e568ab6aa_2677","e27c64c29733013eb4c363b5c7ab13b8_3506"
"group_1004","","carbohydrate porin","4","4","1","2","494","","","","1673","1673","1673","LOCUS_00270","f76cef297a7dedb9150c88bc61db4d5a_442","d0dc75faf82af35216c4087e568ab6aa_2568","e27c64c29733013eb4c363b5c7ab13b8_1693"
"yfaE","","ferredoxin involved with ribonucleotide reductase diferric-tyrosyl radical (Y*) cofactor maintenance","4","4","1","10","124","","","","254","254","254","LOCUS_12360","f76cef297a7dedb9150c88bc61db4d5a_2142","d0dc75faf82af35216c4087e568ab6aa_4024","e27c64c29733013eb4c363b5c7ab13b8_2978"
"srlB","","PTS sorbitol transporter subunit IIA","4","4","1","3","290","","","","371","371","371","LOCUS_07390","f76cef297a7dedb9150c88bc61db4d5a_614","d0dc75faf82af35216c4087e568ab6aa_1492","e27c64c29733013eb4c363b5c7ab13b8_292"
"yhhK","","PanD maturation factor","4","4","1","35","2","","","","383","383","383","LOCUS_44560","f76cef297a7dedb9150c88bc61db4d5a_4642","d0dc75faf82af35216c4087e568ab6aa_4200","e27c64c29733013eb4c363b5c7ab13b8_4629"
"modB","","molybdate ABC transporter permease","4","4","1","5","41","","","","689","689","689","LOCUS_07120","f76cef297a7dedb9150c88bc61db4d5a_1000","d0dc75faf82af35216c4087e568ab6aa_717","e27c64c29733013eb4c363b5c7ab13b8_537"
"yibQ","","hypothetical protein","4","4","1","14","20","","","","959","959","959","LOCUS_17960","f76cef297a7dedb9150c88bc61db4d5a_3922","d0dc75faf82af35216c4087e568ab6aa_238","e27c64c29733013eb4c363b5c7ab13b8_2151"
"group_101","","2-dehydro-3-deoxygluconokinase","4","4","1","14","9","","","","929","995","978","LOCUS_26250","f76cef297a7dedb9150c88bc61db4d5a_3286","d0dc75faf82af35216c4087e568ab6aa_149","e27c64c29733013eb4c363b5c7ab13b8_2061"
"group_1010","","hypothetical protein","4","4","1","8","37","","","","536","536","536","LOCUS_32430","f76cef297a7dedb9150c88bc61db4d5a_4008","d0dc75faf82af35216c4087e568ab6aa_2914","e27c64c29733013eb4c363b5c7ab13b8_4072"
"ymfG","","excisionase","4","4","1","1","857","","","","236","236","236","LOCUS_02410","f76cef297a7dedb9150c88bc61db4d5a_2894","d0dc75faf82af35216c4087e568ab6aa_3159","e27c64c29733013eb4c363b5c7ab13b8_2357"
"wzzE","","ECA polysaccharide chain length modulation protein","4","4","1","22","19","","","","1046","1046","1046","LOCUS_24910","f76cef297a7dedb9150c88bc61db4d5a_3953","d0dc75faf82af35216c4087e568ab6aa_2686","e27c64c29733013eb4c363b5c7ab13b8_3515"
